Channel index,Channel reference energy (keV),Channel synthetic energy (keV),Simulated intensity,Detected intensity,E_Net peak 0,P_B (continuum),P_B_pm_avg (continuum)
1011,19.7461,19.7461,0,0.0742399,0,1,0.988281
1012,19.7656,19.7656,0,0.0557968,0,1,0.989258
1013,19.7852,19.7852,0,0.0406841,0,1,0.990234
1014,19.8047,19.8047,0,0.0287349,0,1,0.991211
1015,19.8242,19.8242,0,0.0196252,0,1,0.992188
1016,19.8438,19.8438,0,0.0129319,0,1,0.993164
1017,19.8633,19.8633,0,0.00819428,0,1,0.994141
1018,19.8828,19.8828,0,0.00496677,0,1,0.995117
1019,19.9023,19.9023,0,0.00285199,0,1,0.996094
1020,19.9219,19.9219,0,0.00152069,0,1,0.99707
1021,19.9414,19.9414,0,0.000717022,0,1,0.998047
1022,19.9609,19.9609,0,0.000253497,0,1,0.999023
1023,19.9805,19.9805,0,0,0,1,1
