Energy (keV), Spectra Total, Spectra Lines, Spectra Bremsstrahlung
88.8525, 26.0885, 0, 26.0885
88.8575, 26.0854, 0, 26.0854
88.8625, 26.0822, 0, 26.0822
88.8675, 26.0791, 0, 26.0791
88.8725, 26.0759, 0, 26.0759
88.8775, 26.0728, 0, 26.0728
88.8825, 26.0696, 0, 26.0696
88.8875, 26.0665, 0, 26.0665
88.8925, 26.0633, 0, 26.0633
88.8975, 26.0602, 0, 26.0602
88.9025, 26.0571, 0, 26.0571
88.9075, 26.0539, 0, 26.0539
88.9125, 26.0508, 0, 26.0508
88.9175, 26.0476, 0, 26.0476
88.9225, 26.0445, 0, 26.0445
88.9275, 26.0413, 0, 26.0413
88.9325, 26.0382, 0, 26.0382
88.9375, 26.0351, 0, 26.0351
88.9425, 26.0319, 0, 26.0319
88.9475, 26.0288, 0, 26.0288
