X (nm), Y (nm), Z (nm), Corrected X (nm), Corrected Y (nm), Corrected Z (nm), E (keV), DeltaE (keV), Theta (rad), Corrected Theta (rad), Phi (rad), Corrected Phi (rad)
-2.7401, -0.613718, 0, -2.7401, -0.613718, 0, 0.0410775, 0.958922, 2.37014, 2.37014, 3.97251, 3.97251
-0.0329007, -0.0185577, 0, -0.0329007, -0.0185577, 0, 0.996975, 0.00302457, 2.14135, 2.14135, 3.65516, 3.65516
-0.471096, 3.89486, 0, -0.471096, 3.89486, 0, 0.814947, 0.185053, 1.9335, 1.9335, 1.58181, 1.58181
-1.09377, 1.03194, 0, -1.09377, 1.03194, 0, 0.641713, 0.358287, 2.36539, 2.36539, 3.64187, 3.64187
-0.383608, 0.377545, 2.22045e-017, -0.383608, 0.377545, 2.22045e-017, 0.62839, 0.37161, 2.57621, 2.57621, 3.76769, 3.76769
-0.0152237, -0.546462, 0, -0.0152237, -0.546462, 0, 0.905192, 0.0948082, 2.46506, 2.46506, 4.53947, 4.53947
0.580589, 0.315716, 0, 0.580589, 0.315716, 0, 0.891446, 0.108554, 2.52433, 2.52433, 0.606331, 0.606331
-1.13424, 0.875819, 0, -1.13424, 0.875819, 0, 0.764922, 0.235078, 2.88312, 2.88312, 1.88924, 1.88924
0.162149, 0.654314, 0, 0.162149, 0.654314, 0, 0.935541, 0.064459, 2.25109, 2.25109, 1.50762, 1.50762
0.041278, -0.284224, 0, 0.041278, -0.284224, 0, 0.942908, 0.0570922, 2.65996, 2.65996, 4.69625, 4.69625
-1.47907, -1.65426, 0, -1.47907, -1.65426, 0, 0.344844, 0.655156, 2.82713, 2.82713, 1.51012, 1.51012
-0.71391, 1.07877, 0, -0.71391, 1.07877, 0, 0.911054, 0.0889463, 2.27627, 2.27627, 2.10275, 2.10275
6.42119, 5.59871, 0, 6.42119, 5.59871, 0, 0.0133605, 0.98664, 2.42091, 2.42091, 2.36247, 2.36247
0.0651601, -0.395517, 0, 0.0651601, -0.395517, 0, 0.944858, 0.0551423, 2.83451, 2.83451, 4.74583, 4.74583
0.0464198, -0.137921, 0, 0.0464198, -0.137921, 0, 0.977969, 0.0220311, 2.57107, 2.57107, 5.08378, 5.08378
2.03953, -1.1555, 0, 2.03953, -1.1555, 0, 0.635577, 0.364423, 2.84973, 2.84973, 5.39398, 5.39398
0.475652, -0.699822, 0, 0.475652, -0.699822, 0, 0.827508, 0.172492, 2.64047, 2.64047, 0.134844, 0.134844
-2.51936, -2.7551, 0, -2.51936, -2.7551, 0, 0.430855, 0.569145, 1.89968, 1.89968, 4.29307, 4.29307
-1.4093, 1.76109, 0, -1.4093, 1.76109, 0, 0.822717, 0.177283, 2.39993, 2.39993, 1.7498, 1.7498
0.0174144, 0.314386, 0, 0.0174144, 0.314386, 0, 0.974101, 0.0258988, 2.05354, 2.05354, 1.51516, 1.51516
0.00517794, -0.0137204, 0, 0.00517794, -0.0137204, 0, 0.998898, 0.00110222, 2.08736, 2.08736, 5.07325, 5.07325
-0.290881, 1.09799, 0, -0.290881, 1.09799, 0, 0.721867, 0.278133, 2.65076, 2.65076, 4.11801, 4.11801
0.0172873, -0.933482, 0, 0.0172873, -0.933482, 0, 0.534358, 0.465642, 2.59486, 2.59486, 2.12625, 2.12625
3.12426, -0.817065, 0, 3.12426, -0.817065, 0, 0.437353, 0.562647, 2.87176, 2.87176, 1.38218, 1.38218
0.0562995, -0.791144, 0, 0.0562995, -0.791144, 0, 0.7999, 0.2001, 2.21735, 2.21735, 4.253, 4.253
-5.67715, -1.74791, 0, -5.67715, -1.74791, 0, 0.327375, 0.672625, 2.41628, 2.41628, 5.75234, 5.75234
1.9053, 1.72548, 0, 1.9053, 1.72548, 0, 0.457976, 0.542024, 2.719, 2.719, 3.61705, 3.61705
4.03827, -0.661438, 0, 4.03827, -0.661438, 0, 0.683608, 0.316392, 2.72922, 2.72922, 0.0672585, 0.0672585
-5.39759, 0.6005, 0, -5.39759, 0.6005, 0, 0.668388, 0.331612, 2.15728, 2.15728, 1.82177, 1.82177
4.68661, -1.55628, 0, 4.68661, -1.55628, 0, 0.597202, 0.402798, 2.92662, 2.92662, 4.82501, 4.82501
-2.98305, -3.55735, 0, -2.98305, -3.55735, 0, 0.44294, 0.55706, 2.05992, 2.05992, 3.74716, 3.74716
-0.926556, 0.436915, 0, -0.926556, 0.436915, 0, 0.920538, 0.0794621, 2.13056, 2.13056, 2.75243, 2.75243
-6.75465, -1.60445, 0, -6.75465, -1.60445, 0, 0.079344, 0.920656, 2.098, 2.098, 3.62301, 3.62301
-2.52775, -1.54711, 0, -2.52775, -1.54711, 0, 0.546647, 0.453353, 2.71869, 2.71869, 4.97198, 4.97198
