Trajectory index, Trajectory type, X (A), Y (A), Z (A), E (keV), indexRegion, collisionType
57, 3, 1.0565, 0.00695007, 50.9935, 9.95042, 0, 3
58, 3, -3.87717e-008, -7.96574e-009, 0, 10, 0, 1
58, 3, -3.87717e-008, -7.96574e-009, 28.4409, 9.97184, 0, 5
58, 3, -0.700482, -0.534222, 50, 9.95043, 0, 2
58, 3, -0.732947, -0.558981, 50.9992, 9.95043, 0, 3
59, 3, -8.42946e-008, -4.21556e-008, 0, 10, 0, 1
59, 3, -8.42946e-008, -4.21556e-008, 20.4411, 9.97976, 0, 5
59, 3, -1.16519, 1.16759, 50, 9.95041, 0, 2
59, 3, -1.20455, 1.20702, 50.9984, 9.95041, 0, 3
60, 3, 6.45187e-009, 1.37965e-008, 0, 10, 0, 1
60, 3, 6.45187e-009, 1.37965e-008, 50, 9.9505, 0, 2
60, 3, 6.45187e-009, 1.37965e-008, 51, 9.9505, 0, 3
61, 3, -1.74356e-008, 4.58577e-008, 0, 10, 0, 1
61, 3, -1.74356e-008, 4.58577e-008, 34.5999, 9.96574, 0, 5
61, 3, 0.984097, -1.20037, 50, 9.95038, 0, 2
61, 3, 1.04768, -1.27793, 50.995, 9.95038, 0, 3
62, 3, 1.1904e-008, -9.57135e-009, 0, 10, 0, 1
62, 3, 1.1904e-008, -9.57135e-009, 47.8451, 9.95263, 0, 5
62, 3, 0.139439, -0.052634, 50, 9.95048, 0, 2
62, 3, 0.203993, -0.0770011, 50.9976, 9.95048, 0, 3
63, 3, 7.34369e-008, 4.04236e-008, 0, 10, 0, 1
63, 3, 7.34369e-008, 4.04236e-008, 6.83434, 9.99323, 0, 5
63, 3, -0.0728351, 0.206895, 15.0574, 9.98508, 0, 5
63, 3, 0.752187, -0.505757, 43.758, 9.95662, 0, 5
63, 3, 0.988009, -0.617462, 50, 9.95041, 0, 2
63, 3, 1.02576, -0.635342, 50.9991, 9.95041, 0, 3
64, 3, -8.80586e-009, -2.01395e-008, 0, 10, 0, 1
64, 3, -8.80586e-009, -2.01395e-008, 0.955097, 9.99905, 0, 5
64, 3, -0.0709636, -0.533793, 18.1131, 9.98206, 0, 5
